id,tenant_id,unit_uid,reading_def_uid,started_on,ended_on,index,is_array,is_unit_on,value,duration_milliseconds,remote_id,purge,sync,instance_id,remove
3a2079d0-bb02-c1eb-4920-1e34d9c60752,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-07 11:10:58.873+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a2079d3-7e8d-4ba4-7f87-1f1f88b42f7e,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-07 11:14:00.448+00,,0,t,f, LUBE OIL LAST.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a207d99-b2eb-80cb-ae78-21aef22e932a,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-08 04:49:19.666+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a2084b0-0729-0597-174a-26d0f9f1ccce,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-09 13:51:00.248+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a2087f1-3269-7337-b4e4-f24f2e00b0f4,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-10 05:01:01.48+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a209c72-4145-73f1-da0d-9063b818e72c,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-04-14 04:34:57.053+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a209c72-416d-fa9b-2698-7ad86c1b8e39,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-04-14 04:34:57.053+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a209c7e-2b0a-6e62-126d-dba078d1c3ab,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-14 04:47:57.784+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a20c791-5386-55fe-2771-d6160a90908a,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-22 13:32:14.879+00,,0,t,f, CHUCK UNCLAMP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a20df6d-0cd9-77ec-3a5d-7d872912835a,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-27 04:43:20.277+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a2127f4-d9b0-f01f-7026-6ada322b17b7,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-05-11 06:43:47.955+00,,0,t,f,(X)- OVERTRAVEL ( SOFT 1 ),,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
